'%localPart%' can not be matched against quoted-string format;'%localPart%' não corresponde com o formato quoted-string
'%localPart%' is no valid local part for email address '%value%';'%localPart%' não é uma parte local válida para o endereço de e-mail '%value%'
'%value%' exceeds the allowed length;'%value%' excede o comprimento permitido
Too many files, maximum '%max%' are allowed but '%count%' are given;Há muitos arquivos, são permitidos no máximo '%max%', mas '%count%' foram fornecidos
Too few files, minimum '%min%' are expected but '%count%' are given;Há poucos arquivos, são esperados no mínimo '%min%', mas '%count%' foram fornecidos
File '%value%' does not match the given crc32 hashes;O arquivo '%value%' não corresponde ao hash crc32 fornecido
A crc32 hash could not be evaluated for the given file;Não foi possível avaliar um hash crc32 para o arquivo fornecido
File '%value%' could not be found;O arquivo '%value%' não pôde ser encontrado
File '%value%' has a false extension;O arquivo '%value%' possui a extensão incorreta
File '%value%' could not be found;O arquivo '%value%' não pôde ser encontrado
File '%value%' has a false mimetype of '%type%';O arquivo '%value%' tem o mimetype incorreto: '%type%'
The mimetype of file '%value%' could not be detected;O mimetype do arquivo '%value%' não pôde ser detectado
File '%value%' can not be read;O arquivo '%value%' não pôde ser lido
File '%value%' does not exist;O arquivo '%value%' não existe
File '%value%' has a false extension;O arquivo '%value%' possui a extensão incorreta
File '%value%' could not be found;O arquivo '%value%' não pôde ser encontrado
All files in sum should have a maximum size of '%max%' but '%size%' were detected;Todos os arquivos devem ter um tamanho máximo de '%max%', mas um tamanho de '%size%' foi detectado
All files in sum should have a minimum size of '%min%' but '%size%' were detected;Todos os arquivos devem ter um tamanho mínimo de '%min%', mas um tamanho de '%size%' foi detectado
One or more files can not be read;Um ou mais arquivos não puderam ser lidos
File '%value%' does not match the given hashes;O arquivo '%value%' não corresponde ao hash fornecido
A hash could not be evaluated for the given file;Não foi possível avaliar um hash para o arquivo fornecido
File '%value%' could not be found;O arquivo '%value%' não pôde ser encontrado
Maximum allowed width for image '%value%' should be '%maxwidth%' but '%width%' detected;A largura máxima permitida para a imagem '%value%' deve ser '%maxwidth%', mas '%width%' foi detectada
Minimum expected width for image '%value%' should be '%minwidth%' but '%width%' detected;A largura mínima esperada para a imagem '%value%' deve ser '%minwidth%', mas '%width%' foi detectada
Maximum allowed height for image '%value%' should be '%maxheight%' but '%height%' detected;A altura máxima permitida para a imagem '%value%' deve ser '%maxheight%', mas '%height%' foi detectada
Minimum expected height for image '%value%' should be '%minheight%' but '%height%' detected;A altura mínima esperada para a imagem '%value%' deve ser '%minheight%', mas '%height%' foi detectada
The size of image '%value%' could not be detected;O tamanho da imagem '%value%' não pôde ser detectado
File '%value%' can not be read;O arquivo '%value%' não pôde ser lido
File '%value%' is not compressed, '%type%' detected;O arquivo '%value%' não está compactado: '%type%' detectado
The mimetype of file '%value%' could not be detected;O mimetype do arquivo '%value%' não pôde ser detectado
File '%value%' can not be read;O arquivo '%value%' não pôde ser lido
File '%value%' is no image, '%type%' detected;O arquivo '%value%' não é uma imagem: '%type%' detectado
The mimetype of file '%value%' could not be detected;O mimetype do arquivo '%value%' não pôde ser detectado
File '%value%' can not be read;O arquivo '%value%' não pôde ser lido
File '%value%' does not match the given md5 hashes;O arquivo '%value%' não corresponde ao hash md5 fornecido
A md5 hash could not be evaluated for the given file;Não foi possível avaliar um hash md5 para o arquivo fornecido
File '%value%' could not be found;O arquivo '%value%' não pôde ser encontrado
File '%value%' has a false mimetype of '%type%';O arquivo '%value%' tem o mimetype incorreto: '%type%'
The mimetype of file '%value%' could not be detected;O mimetype do arquivo '%value%' não pôde ser detectado
File '%value%' can not be read;O arquivo '%value%' não pôde ser lido
File '%value%' exists;O arquivo '%value%' existe
File '%value%' does not match the given sha1 hashes;O arquivo '%value%' não corresponde ao hash sha1 fornecido
A sha1 hash could not be evaluated for the given file;Não foi possível avaliar um hash sha1 para o arquivo fornecido
File '%value%' could not be found;O arquivo '%value%' não pôde ser encontrado
Maximum allowed size for file '%value%' is '%max%' but '%size%' detected;O tamanho máximo permitido para o arquivo '%value%' é '%max%', mas '%size%' foram detectados
Minimum expected size for file '%value%' is '%min%' but '%size%' detected;O tamanho mínimo esperado para o arquivo '%value%' é '%min%', mas '%size%' foram detectados
File '%value%' could not be found;O arquivo '%value%' não pôde ser encontrado
File '%value%' exceeds the defined ini size;O arquivo '%value%' excede o tamanho definido na configuração
File '%value%' exceeds the defined form size;O arquivo '%value%' excede o tamanho definido do formulário
File '%value%' was only partially uploaded;O arquivo '%value%' foi apenas parcialmente enviado
File '%value%' was not uploaded;O arquivo '%value%' não foi enviado
No temporary directory was found for file '%value%';Nenhum diretório temporário foi encontrado para o arquivo '%value%'
File '%value%' can't be written;O arquivo '%value%' não pôde ser escrito
A PHP extension returned an error while uploading the file '%value%';Uma extensão do PHP retornou um erro enquanto o arquivo '%value%' era enviado
File '%value%' was illegally uploaded. This could be a possible attack;O arquivo '%value%' foi enviado ilegalmente. Este poderia ser um possível ataque
File '%value%' was not found;O arquivo '%value%' não foi encontrado
Unknown error while uploading file '%value%';Erro desconhecido ao enviar o arquivo '%value%'
Too much words, maximum '%max%' are allowed but '%count%' were counted;Há muitas palavras, são permitidas no máximo '%max%', mas '%count%' foram contadas
Too less words, minimum '%min%' are expected but '%count%' were counted;Há poucas palavras, são esperadas no mínimo '%min%', mas '%count%' foram contadas
File '%value%' could not be found;O arquivo '%value%' não pôde ser encontrado
Invalid type given, value should be float, string, or integer;O tipo especificado é inválido, o valor deve ser float, string, ou inteiro
'%value%' does not appear to be a float;'%value%' não parece ser um float
'%value%' is not greater than '%min%';'%value%' não é maior que '%min%'
Invalid type given, value should be a string;O tipo especificado é inválido, o valor deve ser uma string
'%value%' has not only hexadecimal digit characters;'%value%' não contém somente caracteres hexadecimais
Invalid type given, value should be a string;O tipo especificado é inválido, o valor deve ser uma string
'%value%' appears to be an IP address, but IP addresses are not allowed;'%value%' parece ser um endereço de IP, mas endereços de IP não são permitidos
'%value%' appears to be a DNS hostname but cannot match TLD against known list;'%value%' parece ser um hostname de DNS, mas o TLD não corresponde a nenhum TLD conhecido
'%value%' appears to be a DNS hostname but contains a dash in an invalid position;'%value%' parece ser um hostname de DNS, mas contém um traço em uma posição inválida
'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%';'%value%' parece ser um hostname de DNS, mas não corresponde ao esquema de hostname para o TLD '%tld%'
'%value%' appears to be a DNS hostname but cannot extract TLD part;'%value%' parece ser um hostname de DNS, mas o TLD não pôde ser extraído
'%value%' does not match the expected structure for a DNS hostname;'%value%' não corresponde com a estrutura esperada para um hostname de DNS
'%value%' does not appear to be a valid local network name;'%value%' não parece ser um nome de rede local válido
'%value%' appears to be a local network name but local network names are not allowed;'%value%' parece ser um nome de rede local, mas os nomes de rede local não são permitidos
'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded;'%value%' parece ser um hostname de DNS, mas a notação punycode fornecida não pode ser decodificada
Unknown country within the IBAN '%value%';País desconhecido para o IBAN '%value%'
'%value%' has a false IBAN format;'%value%' não é um formato IBAN válido
'%value%' has failed the IBAN check;'%value%' falhou na verificação do IBAN
The two given tokens do not match;Os dois tokens fornecidos não combinam
No token was provided to match against;Nenhum token foi fornecido para a comparação
'%value%' was not found in the haystack;'%value%' não faz parte dos valores esperados
Invalid type given, value should be string or integer;O tipo especificado é inválido, o valor deve ser string ou inteiro
'%value%' does not appear to be an integer;'%value%' não parece ser um número inteiro
Invalid type given, value should be a string;O tipo especificado é inválido, o valor deve ser uma string
'%value%' does not appear to be a valid IP address;'%value%' não parece ser um endereço de IP válido
Invalid type given, value should be string or integer;O tipo especificado é inválido, o valor deve ser string ou inteiro
'%value%' is no valid ISBN number;'%value%' não é um número ISBN válido
'%value%' is not less than '%max%';'%value%' não é menor que '%max%'
Invalid type given, value should be float, string, array, boolean or integer;O tipo especificado é inválido, o valor deve ser float, string, matriz, booleano ou inteiro
Value is required and can't be empty;O valor é obrigatório e não pode estar vazio
Invalid type given. The value should be a string or a integer;O tipo especificado é inválido. O valor deve ser uma string ou um inteiro
'%value%' does not appear to be a postal code;'%value%' não parece ser um código postal
Invalid type given, value should be string, integer or float;O tipo especificado é inválido, o valor deve ser string, inteiro ou float
'%value%' does not match against pattern '%pattern%';'%value%' não corresponde ao padrão '%pattern%'
There was an internal error while using the pattern '%pattern%';Houve um erro interno durante o uso do padrão '%pattern%'
'%value%' is no valid sitemap changefreq;'%value%' não é um changefreq de sitemap válido
Invalid type given, the value should be a string;O tipo especificado é inválido, o valor deve ser uma string
'%value%' is no valid sitemap lastmod;'%value%' não é um lastmod de sitemap válido
Invalid type given, the value should be a string;O tipo especificado é inválido, o valor deve ser uma string
'%value%' is no valid sitemap location;'%value%' não é uma localização de sitemap válida
Invalid type given, the value should be a string;O tipo especificado é inválido, o valor deve ser uma string
'%value%' is no valid sitemap priority;'%value%' não é uma prioridade de sitemap válida
Invalid type given, the value should be a integer, a float or a numeric string;O tipo especificado é inválido, o valor deve ser um inteiro, um float ou uma string numérica
Invalid type given, value should be a string;O tipo especificado é inválido, o valor deve ser uma string
'%value%' is less than %min% characters long;O tamanho de '%value%' é inferior a %min% caracteres
'%value%' is more than %max% characters long;O tamanho de '%value%' é superior a %max% caracteres
